"Name","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Weekly Coordination Call","github issue","","TODO","","","","","Someone created on Jul 18, 2022 6:07 PM"
"Weekly Coordination Call","github issue","2","DONE","Felix [SWARM],NaiiDz,JP | $cardanobeast |11,Stephen [QADAO][SWARM],₳ndré,sirwolcott [SWARM][N2O],Miro Treasury","0x065301995B09114a7E8A33c9b3cF7C777506b443,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,,0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,","","July 11, 2022 6:02 PM","Felix [SWARM] created on Jul 18, 2022 6:06 PM, Task completed on Jul 18, 2022 6:07 PM"
"Weekly Coordination Call","github issue","","TODO","","","","","Someone created on Jul 18, 2022 6:02 PM"
"Weekly Coordination Call","github issue","2","IN_PROGRESS","sirwolcott [SWARM][N2O],Felix [SWARM],Miro Treasury,NaiiDz,JP | $cardanobeast |11,Stephen [QADAO][SWARM],₳ndré",",0x065301995B09114a7E8A33c9b3cF7C777506b443,,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,,0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","July 18, 2022 6:02 PM","Felix [SWARM] created on Jul 18, 2022 6:02 PM"
"F9 GSG Tools Proposal","github issue","8","IN_REVIEW","JP | $cardanobeast |11,Stephen [QADAO][SWARM]",",0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB","","","Someone created on Jul 4, 2022 5:41 PM"
"F9 GSG Tools","github issue","50","DONE","JP | $cardanobeast |11,sirwolcott [SWARM][N2O],Miro Treasury,Felix [SWARM],Nori,₳ndré,Stephen [QADAO][SWARM],NaiiDz",",,,0x065301995B09114a7E8A33c9b3cF7C777506b443,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B","","","Stephen [QADAO][SWARM] created on Jul 4, 2022 5:41 PM, Task completed on Jul 4, 2022 5:42 PM"
"GSG Admin Meeting 27/06/22 Attendance payment","github issue","1","IN_REVIEW","Miro Treasury,₳ndré",",0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Someone created on Jul 4, 2022 4:47 PM"
"GSG Admin Meeting 27/06/22 Attendance payment","github issue","40","DONE","Miro Treasury,₳ndré",",0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","June 27, 2022 4:44 PM","Stephen [QADAO][SWARM] created on Jul 4, 2022 4:47 PM, Task completed on Jul 4, 2022 5:46 PM"
"GSG Meeting Agenda - 4th July 2022","github issue","1","DONE","sirwolcott [SWARM][N2O]","","","","Someone created on Jul 4, 2022 4:34 PM, Task completed on Jul 4, 2022 11:45 PM"
"GSG Meeting Agenda - 4th July 2022","github issue","20.5","DONE","sirwolcott [SWARM][N2O]","","","July 4, 2022 4:33 PM","Stephen [QADAO][SWARM] created on Jul 4, 2022 4:34 PM, Task completed on Jul 4, 2022 5:48 PM"
"dework task points","github issue","","TODO","","","","","Someone created on Jul 4, 2022 4:26 PM"
"dework task points","github issue","10.5","IN_PROGRESS","Miro Treasury,Stephen [QADAO][SWARM],₳ndré",",0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Stephen [QADAO][SWARM] created on Jul 4, 2022 4:26 PM"
"Set bo-gsg group channel in gimbalabs discord","github issue","1","DONE","Tevo Saks","","","","Someone created on Jul 3, 2022 3:12 PM, Task completed on Jul 4, 2022 11:44 PM"
"Set bo-gsg group channel in gimbalabs discord","github issue","1","DONE","Tevo Saks","","","July 3, 2022 3:12 PM","Stephen [QADAO][SWARM] created on Jul 3, 2022 3:12 PM, Task completed on Jul 4, 2022 11:44 PM"
"Payment to Nori","github issue","","DONE","Miro Treasury,₳ndré",",0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Miro Treasury created on Jul 2, 2022 11:08 AM, Task completed on Jul 2, 2022 11:24 AM"
"Weekly Governance Guild Calls & Coordinations - 4th July 2022","🔁 recurring,github issue","2","IN_REVIEW","Stephen [QADAO][SWARM]","0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB","","July 4, 2022 6:12 PM","Felix [SWARM] created on Jun 27, 2022 7:45 PM"
"Weekly Governance Guild Calls & Coordinations - June 27","🔁 recurring,github issue","2","DONE","sirwolcott [SWARM][N2O],Nori,JP | $cardanobeast |11,Stephen [QADAO][SWARM],₳ndré,Miro Treasury,Felix [SWARM]",",0x7F6f528AD92d29F03a11f8723974F1888DB20B19,,0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,0x065301995B09114a7E8A33c9b3cF7C777506b443","","June 27, 2022 6:12 PM","Felix [SWARM] created on Jun 27, 2022 6:33 PM, Task completed on Jul 4, 2022 5:36 PM"
"Sub Circle Invoice Template","github issue","50","IN_PROGRESS","₳ndré","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Someone created on Jun 26, 2022 2:59 PM"
"Monthly Governance Services","github issue","","TODO","","","","","Someone created on Jun 24, 2022 5:00 PM"
"Monthly Governance Services","github issue","","BACKLOG","sirwolcott [SWARM][N2O]","","","","sirwolcott [SWARM][N2O] created on Jun 24, 2022 5:00 PM"
"Governance Services Guild Proposal Check-In","github issue","","DONE","sirwolcott [SWARM][N2O]","","","","Someone created on Jun 24, 2022 12:34 AM, Task completed on Jul 4, 2022 5:47 PM"
